source,keep,rescue_rule,flag_rules,relevance_score,date,actor,actor_country,target_country,target_actor,event_type,event_subtype,motive,description,original_id,actor_norm,target_country_iso,target_country_raw,tc_extraction_method,date_intrinsic,event_type_source,event_subtype_source,cluster_id,abstraction_level,analysis_weight,is_cluster_canonical,duplicate_group_id,duplicate_confidence,granularity_flag,granularity_note,sources_in_group,is_canonical,cluster_size,date_min,date_max,dates_all,targets_all,event_types_all,event_subtypes_all,motives_all,actor_all,total_events,description_merged,description_merged_final,actor_country_native,actor_country_grounded,date_native,date_grounded,canonical_incident_name,enrichment_status,enrichment_method,external_citation_urls,citation_count,native_source_url,include_in_analysis,exclude_reason,actor_type,attribution_method,confidence_hint
cissm,yes,,,0.026987,2022-07-18,NoName057(16),Russian Federation,Lithuania,DNB Banka,Disruptive,External Denial of Service,Protest,NoName057(16) claims to have conducted a DDoS attack against the website of the Lithuanian division of a European bank. | NoName057(16) claims to have conducted DDoS attacks against the websites of four Lithuanian logistics companies. | NoName057(16) claims to have conducted a DDoS attack against the website of a Lithuanian international transportation company.,cissm_7079498144463023138,noname057,LTU,,direct_lookup,True,Disruptive,External Denial of Service,,daily,1.0,True,43,high,multi_within,CISSM:3,cissm,True,3,2022-07-15,2022-07-22,2022-07-18; 2022-07-15; 2022-07-22,DNB Banka; Baltic Transline,Disruptive,External Denial of Service,Protest,NoName057(16),1,NoName057(16) claims to have conducted a DDoS attack against the website of a Lithuanian international transportation company. NoName057(16) claims to have conducted a DDoS attack against the website of the Lithuanian division of a European bank. NoName057(16) claims to have conducted DDoS attacks against the websites of four Lithuanian logistics companies.,NoName057(16) claims to have conducted a DDoS attack against the website of a Lithuanian international transportation company. NoName057(16) claims to have conducted a DDoS attack against the website of the Lithuanian division of a European bank. NoName057(16) claims to have conducted DDoS attacks against the websites of four Lithuanian logistics companies.,,,,,,,,,,https://t.me/noname05716/445; https://t.me/noname05716/495; https://t.me/noname05716/469,True,,hacktivist_prorussian,self_attribution,claimed
cissm,yes,,,0.057218,2022-07-19,SVR (COZYBEAR),Russian Federation,Undetermined,NATO Country in Europe,Exploitive,Exploitation of End Hosts,Political-Espionage,Researchers from Palo Alto reveal the details of a new cyber espionage campaign carried out by the Russian threat actor APT29 targeting a Nato country in Europe.,cissm_3954983351853786955,svr,,,none,True,Exploitive,Exploitation of End Hosts,,daily,1.0,True,,,single,CISSM:1,cissm,True,1,2022-07-19,2022-07-19,2022-07-19,NATO Country in Europe,Exploitive,Exploitation of End Hosts,Political-Espionage,SVR (COZYBEAR),1,Researchers from Palo Alto reveal the details of a new cyber espionage campaign carried out by the Russian threat actor APT29 targeting a Nato country in Europe.,Researchers from Palo Alto reveal the details of a new cyber espionage campaign carried out by the Russian threat actor APT29 targeting a Nato country in Europe.,,,,,,,,,,https://www.bleepingcomputer.com/news/security/russian-svr-hackers-use-google-drive-dropbox-to-evade-detection/,True,,state_russian,corporate_threat_intel,definitive
cissm,yes,,,0.051074,2022-07-20,GhostSec,Undetermined,Russian Federation,Gysinoozerskaya Hydro-Power Plant,Disruptive,Physical Attack,Protest,An explosion was reported at the Gysinoozerskaya Hydro-Power Plant in Russia leading to the subsequent emergency shutdown of the power plan. The GhostSec threat actor claimed responsibility for this attack. GhostSec justified its cyberattack as a response against Russia's invasion of Ukraine.,cissm_-37341846978244017,ghostsec,RUS,,direct_lookup,True,Disruptive,Physical Attack,,daily,1.0,True,,,single,CISSM:1,cissm,True,1,2022-07-20,2022-07-20,2022-07-20,Gysinoozerskaya Hydro-Power Plant,Disruptive,Physical Attack,Protest,GhostSec,1,An explosion was reported at the Gysinoozerskaya Hydro-Power Plant in Russia leading to the subsequent emergency shutdown of the power plan. The GhostSec threat actor claimed responsibility for this attack. GhostSec justified its cyberattack as a response against Russia's invasion of Ukraine.,An explosion was reported at the Gysinoozerskaya Hydro-Power Plant in Russia leading to the subsequent emergency shutdown of the power plan. The GhostSec threat actor claimed responsibility for this attack. GhostSec justified its cyberattack as a response against Russia's invasion of Ukraine.,Undetermined,UKR,2022-07-20,2022-07-20,GhostSec pro-Ukraine ICS attack on Gysinoozerskaya Hydro-Power Plant,enriched,internet_grounding,https://www.thetechoutlook.com/news/technology/security/exclusive-ghostsec-has-taken-the-responsibility-for-the-recent-russian-ics-attack-with-zero-causality/,1,https://www.thetechoutlook.com/news/technology/security/exclusive-ghostsec-has-taken-the-responsibility-for-the-recent-russian-ics-attack-with-zero-causality/,True,,hacktivist_prorussian,self_attribution,claimed
cissm,yes,,,0.030703,2022-07-21,Undetermined,Undetermined,Ukraine,TAVR Media,Disruptive,Message Manipulation,Sabotage,Ukrainian media group TAVR Media confirms that it was hacked to spread fake news about President Zelenskiy being in critical condition and under intensive care.,cissm_-7281548935379445601,undetermined,UKR,,direct_lookup,True,Disruptive,Message Manipulation,,daily,1.0,True,,,single,CISSM:1,cissm,True,1,2022-07-21,2022-07-21,2022-07-21,TAVR Media,Disruptive,Message Manipulation,Sabotage,Undetermined,1,Ukrainian media group TAVR Media confirms that it was hacked to spread fake news about President Zelenskiy being in critical condition and under intensive care.,Ukrainian media group TAVR Media confirms that it was hacked to spread fake news about President Zelenskiy being in critical condition and under intensive care.,Undetermined,RUS,2022-07-21,2022-07-21,Russian hackers breach TAVR Media to spread fake Zelensky news,enriched,contextual_inference,https://www.bleepingcomputer.com/news/security/hackers-breach-ukrainian-radio-network-to-spread-fake-news-about-zelenskiy/,1,https://www.bleepingcomputer.com/news/security/hackers-breach-ukrainian-radio-network-to-spread-fake-news-about-zelenskiy/,True,,unknown,unclear,none
cissm,yes,,,0.025104,2022-07-25,Zarya,Russian Federation,Ukraine,Ukranian internet provider,Undetermined,Undetermined,Protest,"The Russian hacker collective ""Zarya"" announced that they have conducted a large scale cyberattack against one of Ukraine's largest Internet provider. The governmental agency, has its own technical platforms (nodes) in most regional centers of Ukraine, its own backbone network data transmission using optical fiber technology, and its own external access channels to global information networks.",cissm_6912432831095989842,zarya,UKR,,direct_lookup,True,Undetermined,Undetermined,,daily,1.0,True,,,single,CISSM:1,cissm,True,1,2022-07-25,2022-07-25,2022-07-25,Ukranian internet provider,Undetermined,Undetermined,Protest,Zarya,1,"The Russian hacker collective ""Zarya"" announced that they have conducted a large scale cyberattack against one of Ukraine's largest Internet provider. The governmental agency, has its own technical platforms (nodes) in most regional centers of Ukraine, its own backbone network data transmission using optical fiber technology, and its own external access channels to global information networks.","The Russian hacker collective ""Zarya"" announced that they have conducted a large scale cyberattack against one of Ukraine's largest Internet provider. The governmental agency, has its own technical platforms (nodes) in most regional centers of Ukraine, its own backbone network data transmission using optical fiber technology, and its own external access channels to global information networks.",,,,,,,,,,https://t.me/ddos_channel_rus/391,True,event type undetermined; limited analytical value,hacktivist_prorussian,self_attribution,claimed
cissm,yes,,,0.026742,2022-08-01,NoName057(16),Russian Federation,Poland,Polish Defense Holdings,Disruptive,External Denial of Service,Protest,NoName057(16) claims to have conducted a DDoS attack against a Polish industrial group uniting defense industry enterprises. | NoName057(16) claims to have conducted a DDoS attack against the website of a Polish airport.,cissm_-6409880708026339308,noname057,POL,,direct_lookup,True,Disruptive,External Denial of Service,,daily,1.0,True,51,high,multi_within,CISSM:2,cissm,True,2,2022-07-26,2022-08-01,2022-08-01; 2022-07-26,Polish Defense Holdings; Szczecin-Goleniow International Airport,Disruptive,External Denial of Service,Protest,NoName057(16),1,NoName057(16) claims to have conducted a DDoS attack against a Polish industrial group uniting defense industry enterprises. NoName057(16) claims to have conducted a DDoS attack against the website of a Polish airport.,NoName057(16) claims to have conducted a DDoS attack against a Polish industrial group uniting defense industry enterprises. NoName057(16) claims to have conducted a DDoS attack against the website of a Polish airport.,,,,,,,,,,https://t.me/noname05716/521; https://t.me/noname05716/555,True,,hacktivist_prorussian,self_attribution,claimed
cissm,yes,,,0.037368,2022-08-09,Phoenix,Ukraine,United Kingdom of Great Britain and Northern Ireland,British Hospitals,Disruptive,External Denial of Service,Protest,The Russian-affiliated collective Phoenix claims to have conducted a DDoS campaign against British hospitals and foundations assisting Ukraine.,cissm_4484055708189672408,phoenix,GBR,,direct_lookup,True,Disruptive,External Denial of Service,,daily,1.0,True,,,single,CISSM:1,cissm,True,1,2022-08-09,2022-08-09,2022-08-09,British Hospitals,Disruptive,External Denial of Service,Protest,Phoenix,1,The Russian-affiliated collective Phoenix claims to have conducted a DDoS campaign against British hospitals and foundations assisting Ukraine.,The Russian-affiliated collective Phoenix claims to have conducted a DDoS campaign against British hospitals and foundations assisting Ukraine.,,,,,,,,,,https://t.me/phoenixinform/766,True,,hacktivist_prorussian,self_attribution,claimed
cissm,yes,,,0.033898,2022-08-14,Anonymous Russia,Russian Federation,Ukraine,PEOPLEnet,Disruptive,External Denial of Service,Protest,Anonymous Russia claims to have conducted a DDoS attack against a Ukrainian telecommunication provider. | The Russian-affiliated collective Anonymous Russia claims to have conducted a DDoS attack against the website of the Security Services of Ukraine.,cissm_8577311899934927500,anonymous,UKR,,direct_lookup,True,Disruptive,External Denial of Service,,daily,1.0,True,55,high,multi_within,CISSM:2,cissm,True,2,2022-08-10,2022-08-14,2022-08-14; 2022-08-10,PEOPLEnet; Security Service of Ukraine,Disruptive,External Denial of Service,Protest,Anonymous Russia,1,The Russian-affiliated collective Anonymous Russia claims to have conducted a DDoS attack against the website of the Security Services of Ukraine. Anonymous Russia claims to have conducted a DDoS attack against a Ukrainian telecommunication provider.,The Russian-affiliated collective Anonymous Russia claims to have conducted a DDoS attack against the website of the Security Services of Ukraine. Anonymous Russia claims to have conducted a DDoS attack against a Ukrainian telecommunication provider.,,,,,,,,,,https://t.me/anon_by/283; https://t.me/anon_by/311,True,,state_russian,self_attribution,claimed
cissm,yes,,,0.04854,2022-08-16,Cyber Palyanitsa,Ukraine,Russian Federation,Russian news agencies,Disruptive,External Denial of Service,Protest,The Ukrainian-affiliated collective Cyber Palyanitsa claims to have conducted a DDoS attack against the servers of a Russian news agency.,cissm_-2034250719267087773,cyber palyanitsa,RUS,,direct_lookup,True,Disruptive,External Denial of Service,,daily,1.0,True,,,single,CISSM:1,cissm,True,1,2022-08-16,2022-08-16,2022-08-16,Russian news agencies,Disruptive,External Denial of Service,Protest,Cyber Palyanitsa,1,The Ukrainian-affiliated collective Cyber Palyanitsa claims to have conducted a DDoS attack against the servers of a Russian news agency.,The Ukrainian-affiliated collective Cyber Palyanitsa claims to have conducted a DDoS attack against the servers of a Russian news agency.,,,,,,,,,,https://t.me/CyberPalyanitsa/426,True,,state_ukrainian,self_attribution,claimed
cissm,yes,,,0.050619,2022-08-18,Killnet,Russian Federation,Estonia,Government websites in Estonia,Disruptive,External Denial of Service,Protest,"Estonia claims to have repelled ""the most extensive cyber attacks since 2007"", shortly after removing Soviet monuments in a region with an ethnic Russian majority.",cissm_-4404564947515140157,killnet,EST,,direct_lookup,True,Disruptive,External Denial of Service,,daily,1.0,True,,,single,CISSM:1,cissm,True,1,2022-08-18,2022-08-18,2022-08-18,Government websites in Estonia,Disruptive,External Denial of Service,Protest,Killnet,1,"Estonia claims to have repelled ""the most extensive cyber attacks since 2007"", shortly after removing Soviet monuments in a region with an ethnic Russian majority.","Estonia claims to have repelled ""the most extensive cyber attacks since 2007"", shortly after removing Soviet monuments in a region with an ethnic Russian majority.",,,,,,,,,,https://www.reuters.com/world/europe/estonia-says-it-repelled-major-cyber-attack-after-removing-soviet-monuments-2022-08-18/,True,,hacktivist_prorussian,official_government,definitive
cissm,yes,,,0.027084,2022-08-19,Zarya,Russian Federation,Ukraine,Ukrainian administrative center,Exploitive,Undetermined,Protest,"Zarya claims to have hacked, and exfiltrated data from, the official website of a Ukrainian administrative center, and have subsequently leaked the data of thousands of Ukrainian citizens.",cissm_4044349964193189112,zarya,UKR,,direct_lookup,True,Exploitive,Undetermined,,daily,1.0,True,,,single,CISSM:1,cissm,True,1,2022-08-19,2022-08-19,2022-08-19,Ukrainian administrative center,Exploitive,Undetermined,Protest,Zarya,1,"Zarya claims to have hacked, and exfiltrated data from, the official website of a Ukrainian administrative center, and have subsequently leaked the data of thousands of Ukrainian citizens.","Zarya claims to have hacked, and exfiltrated data from, the official website of a Ukrainian administrative center, and have subsequently leaked the data of thousands of Ukrainian citizens.",,,,,,,,,,https://t.me/ddos_channel_rus/432,True,,hacktivist_prorussian,self_attribution,claimed
cissm,yes,,,0.025716,2022-08-20,NoName057(16),Russian Federation,Poland,District Court of the city of Brodnitsa,Disruptive,External Denial of Service,Protest,NoName057(16) claims to have conducted a DDoS campaign against the websites of nine regional Polish courts | NoName057(16) claims to have conducted a DDoS campaign against the websites of six regional Polish courts,cissm_7025960874437288956,noname057,POL,,direct_lookup,True,Disruptive,External Denial of Service,,daily,1.0,True,52,high,multi_within,CISSM:2,cissm,True,2,2022-08-19,2022-08-20,2022-08-20; 2022-08-19,District Court of the city of Brodnitsa; District Court of the city of Limanow,Disruptive,External Denial of Service,Protest,NoName057(16),1,NoName057(16) claims to have conducted a DDoS campaign against the websites of nine regional Polish courts NoName057(16) claims to have conducted a DDoS campaign against the websites of six regional Polish courts,NoName057(16) claims to have conducted a DDoS campaign against the websites of nine regional Polish courts NoName057(16) claims to have conducted a DDoS campaign against the websites of six regional Polish courts,,,,,,,,,,https://t.me/noname05716/681; https://t.me/noname05716/693,True,,hacktivist_prorussian,self_attribution,claimed
cissm,yes,,,0.079832,2022-08-24,IT Army of Ukraine,Ukraine,Ukraine,Miranda Media,Disruptive,Undetermined,Protest,IT Army of Ukraine claims to have conducted a cyberattack and defacement operation against the biggest Russian internet provider in Crimea.,cissm_-8814637367500078472,it army,UKR,,direct_lookup,True,Disruptive,Undetermined,,daily,1.0,True,,,single,CISSM:1,cissm,True,1,2022-08-24,2022-08-24,2022-08-24,Miranda Media,Disruptive,Undetermined,Protest,IT Army of Ukraine,1,IT Army of Ukraine claims to have conducted a cyberattack and defacement operation against the biggest Russian internet provider in Crimea.,IT Army of Ukraine claims to have conducted a cyberattack and defacement operation against the biggest Russian internet provider in Crimea.,,,,,,,,,,https://www.thetechoutlook.com/news/technology/security/it-army-of-ukraine-claims-to-have-destroyed-russian-miranda-media/,True,,state_ukrainian,self_attribution,claimed
cissm,yes,,,0.041949,2022-08-29,NoName057(16),Russian Federation,Ukraine,Accordbank,Disruptive,External Denial of Service,Protest,NoName057(16) claims to have conducted a DDoS attack against a Ukrainian bank. | NoName057(16) claims to have conducted a DDoS attack against a Ukrainian commericlal bank.,cissm_7421680900031543421,noname057,UKR,,direct_lookup,True,Disruptive,External Denial of Service,cluster_21,atomic,0.2500,False,58,high,multi_within,CISSM:4,cissm,True,4,2022-08-29,2022-08-29,2022-08-29,Accordbank; Poltavabank; Pravex; Trust Capital,Disruptive,External Denial of Service,Protest,NoName057(16),1,NoName057(16) claims to have conducted a DDoS attack against a Ukrainian commericlal bank. NoName057(16) claims to have conducted a DDoS attack against a Ukrainian bank.,NoName057(16) claims to have conducted a DDoS attack against a Ukrainian commericlal bank. NoName057(16) claims to have conducted a DDoS attack against a Ukrainian bank.,,,,,,,,,,https://t.me/noname05716/791; https://t.me/noname05716/781; https://t.me/noname05716/785; https://t.me/noname05716/783,True,,hacktivist_prorussian,self_attribution,claimed
cissm,yes,,,0.053598,2022-08-31,Undetermined,Undetermined,Russian Federation,Russian mayor's offices and courts,Mixed,Data Attack,Financial,Russian courts and government agencies have been hit by a previously-undocumented strain of data-wiping malware known as CryWiper.,cissm_-3779909230692224185,undetermined,RUS,,direct_lookup,True,Mixed,Data Attack,,daily,1.0,True,,,single,CISSM:1,cissm,True,1,2022-08-31,2022-08-31,2022-08-31,Russian mayor's offices and courts,Mixed,Data Attack,Financial,Undetermined,1,Russian courts and government agencies have been hit by a previously-undocumented strain of data-wiping malware known as CryWiper.,Russian courts and government agencies have been hit by a previously-undocumented strain of data-wiping malware known as CryWiper.,Undetermined,UKR,2022-08-31,2022-08-31,Pro-Ukraine CryWiper malware attack on Russian courts,enriched,contextual_inference,https://www.bitdefender.com/blog/hotforsecurity/russian-courts-attacked-by-crywiper-malware-that-poses-as-ransomware/,1,https://www.bitdefender.com/blog/hotforsecurity/russian-courts-attacked-by-crywiper-malware-that-poses-as-ransomware/,True,,unknown,unclear,none
cissm,yes,,,0.065355,2022-09-01,IT Army of Ukraine,Ukraine,Ukraine,Crimean news agencies,Disruptive,Message Manipulation,Protest,"IT Army of Ukraine claims to have conducted a defacement of several TV channels broadcasting in Crimea. Instead of continuing with their program, the TV channels were defaced to broadcast a speech by the president of Ukraine.",cissm_-1330849541835751515,it army,UKR,,direct_lookup,True,Disruptive,Message Manipulation,,daily,1.0,True,,,single,CISSM:1,cissm,True,1,2022-09-01,2022-09-01,2022-09-01,Crimean news agencies,Disruptive,Message Manipulation,Protest,IT Army of Ukraine,1,"IT Army of Ukraine claims to have conducted a defacement of several TV channels broadcasting in Crimea. Instead of continuing with their program, the TV channels were defaced to broadcast a speech by the president of Ukraine.","IT Army of Ukraine claims to have conducted a defacement of several TV channels broadcasting in Crimea. Instead of continuing with their program, the TV channels were defaced to broadcast a speech by the president of Ukraine.",,,,,,,,,,https://t.me/itarmyofukraine2022/577,True,,state_ukrainian,self_attribution,claimed
cissm,yes,,,0.105354,2022-09-01,FSB 18th Center for Information Security (Berserk Bear),Russian Federation,Ukraine,Ukrainian-based organizations,Exploitive,Exploitation of Network Infrastructure,Political-Espionage,"Researchers from Mandiant reveal the details of an attack against a Ukrainian organization, carried out by the Russian state-sponsored threat actor Turla, and leveraging a legacy Andromeda malware likely deployed by other hackers via an infected USB drive.",cissm_-5506096663122956671,fsb,UKR,,direct_lookup,True,Exploitive,Exploitation of Network Infrastructure,,daily,1.0,True,,,single,CISSM:1,cissm,True,1,2022-09-01,2022-09-01,2022-09-01,Ukrainian-based organizations,Exploitive,Exploitation of Network Infrastructure,Political-Espionage,FSB 18th Center for Information Security (Berserk Bear),1,"Researchers from Mandiant reveal the details of an attack against a Ukrainian organization, carried out by the Russian state-sponsored threat actor Turla, and leveraging a legacy Andromeda malware likely deployed by other hackers via an infected USB drive.","Researchers from Mandiant reveal the details of an attack against a Ukrainian organization, carried out by the Russian state-sponsored threat actor Turla, and leveraging a legacy Andromeda malware likely deployed by other hackers via an infected USB drive.",,,,,,,,,,https://www.securityweek.com/russian-turla-cyberspies-leveraged-other-hackers-usb-delivered-malware,True,,state_russian,corporate_threat_intel,definitive
cissm,yes,,,0.05203,2022-09-01,Anonymous,Undetermined,Russian Federation,Yandex,Disruptive,Physical Attack,Protest,"Anonymous in cooperation with the IT Army of Ukraine conducted a cyberattack against one of Russia's largest taxi services. The attack consisted of ordering all available taxis to a particular address, thus creating a massive traffic jam in Moscow.",cissm_5110576188089353882,anonymous,RUS,,direct_lookup,True,Disruptive,Physical Attack,,daily,1.0,True,,,single,CISSM:1,cissm,True,1,2022-09-01,2022-09-01,2022-09-01,Yandex,Disruptive,Physical Attack,Protest,Anonymous,1,"Anonymous in cooperation with the IT Army of Ukraine conducted a cyberattack against one of Russia's largest taxi services. The attack consisted of ordering all available taxis to a particular address, thus creating a massive traffic jam in Moscow.","Anonymous in cooperation with the IT Army of Ukraine conducted a cyberattack against one of Russia's largest taxi services. The attack consisted of ordering all available taxis to a particular address, thus creating a massive traffic jam in Moscow.",Undetermined,UKR,2022-09-01,2022-09-01,Anonymous and IT Army cyberattack on Yandex Taxi service,enriched,contextual_inference,https://www.hackread.com/anonymous-russian-yandex-taxi-app-hacked/,1,https://www.hackread.com/anonymous-russian-yandex-taxi-app-hacked/,True,,hacktivist_proukrainian,academic_research,qualified
cissm,yes,,,0.035217,2022-09-04,Red Hackers Alliance,Undetermined,Ukraine,Apravda,Disruptive,External Denial of Service,Protest,"The Russian-affiliated collective ""Red Hackers Alliance"" claims to have conducted a DDoS attack against the website of a Ukrainian news media.",cissm_-6092872189180994883,red hackers alliance,UKR,,direct_lookup,True,Disruptive,External Denial of Service,,daily,1.0,True,,,single,CISSM:1,cissm,True,1,2022-09-04,2022-09-04,2022-09-04,Apravda,Disruptive,External Denial of Service,Protest,Red Hackers Alliance,1,"The Russian-affiliated collective ""Red Hackers Alliance"" claims to have conducted a DDoS attack against the website of a Ukrainian news media.","The Russian-affiliated collective ""Red Hackers Alliance"" claims to have conducted a DDoS attack against the website of a Ukrainian news media.",Undetermined,RUS,2022-09-04,2022-09-04,Red Hackers Alliance pro-Russia DDoS against Apravda Ukrainian media,enriched,contextual_inference,https://t.me/RHA_Red_Hackers_Alliance_Russia/130,1,https://t.me/RHA_Red_Hackers_Alliance_Russia/130,True,,hacktivist_prorussian,self_attribution,claimed
cissm,yes,,,0.073532,2022-09-07,Killnet,Russian Federation,Japan,Unidentified Government ministry #1,Disruptive,External Denial of Service,Protest,"The RussiaÃƒÆ’Ã‚Æ’Ãƒâ€ Ã‚â€™ÃƒÆ’Ã‚â€šÃƒâ€šÃ‚Â¢ÃƒÆ’Ã‚Æ’Ãƒâ€šÃ‚Â¢'ÃƒÆ’Ã‚â€šÃƒâ€šÃ‚Â¬""affiliated group Killnet claims responsibility for a series of cyberÃƒÆ’Ã‚Æ’Ãƒâ€ Ã‚â€™ÃƒÆ’Ã‚â€šÃƒâ€šÃ‚Â¢ÃƒÆ’Ã‚Æ’Ãƒâ€šÃ‚Â¢'ÃƒÆ’Ã‚â€šÃƒâ€šÃ‚Â¬""attacks against Japanese companies and 20 websites across four government ministries.",cissm_425050152791402613,killnet,JPN,,direct_lookup,True,Disruptive,External Denial of Service,cluster_23,atomic,0.2500,False,63,high,multi_within,CISSM:4,cissm,True,4,2022-09-07,2022-09-07,2022-09-07,Unidentified Government ministry #1; Unidentified Government ministry #2; Unidentified Government ministry #3; Unidentified Government ministry #4,Disruptive,External Denial of Service,Protest,Killnet,1,"The RussiaÃƒÆ’Ã‚Æ’Ãƒâ€ Ã‚â€™ÃƒÆ’Ã‚â€šÃƒâ€šÃ‚Â¢ÃƒÆ’Ã‚Æ’Ãƒâ€šÃ‚Â¢'ÃƒÆ’Ã‚â€šÃƒâ€šÃ‚Â¬""affiliated group Killnet claims responsibility for a series of cyberÃƒÆ’Ã‚Æ’Ãƒâ€ Ã‚â€™ÃƒÆ’Ã‚â€šÃƒâ€šÃ‚Â¢ÃƒÆ’Ã‚Æ’Ãƒâ€šÃ‚Â¢'ÃƒÆ’Ã‚â€šÃƒâ€šÃ‚Â¬""attacks against Japanese companies and 20 websites across four government mi","The RussiaÃƒÆ’Ã‚Æ’Ãƒâ€ Ã‚â€™ÃƒÆ’Ã‚â€šÃƒâ€šÃ‚Â¢ÃƒÆ’Ã‚Æ’Ãƒâ€šÃ‚Â¢'ÃƒÆ’Ã‚â€šÃƒâ€šÃ‚Â¬""affiliated group Killnet claims responsibility for a series of cyberÃƒÆ’Ã‚Æ’Ãƒâ€ Ã‚â€™ÃƒÆ’Ã‚â€šÃƒâ€šÃ‚Â¢ÃƒÆ’Ã‚Æ’Ãƒâ€šÃ‚Â¢'ÃƒÆ’Ã‚â€šÃƒâ€šÃ‚Â¬""attacks against Japanese companies and 20 websites across four government mi",,,,,,,,,,https://www.infosecurity-magazine.com/news/japan-govt-websites-killnet/,True,,hacktivist_prorussian,self_attribution,claimed
cissm,yes,,,0.039344,2022-09-09,Anonymous Russia,Russian Federation,Ukraine,Website of the President of Ukraine,Disruptive,Message Manipulation,Protest,"Anonymous Russia claims to have conducted a DDoS attack against the website of the president of Ukraine, removing part of the website.",cissm_2056860861720817352,anonymous,UKR,,direct_lookup,True,Disruptive,Message Manipulation,,daily,1.0,True,,,single,CISSM:1,cissm,True,1,2022-09-09,2022-09-09,2022-09-09,Website of the President of Ukraine,Disruptive,Message Manipulation,Protest,Anonymous Russia,1,"Anonymous Russia claims to have conducted a DDoS attack against the website of the president of Ukraine, removing part of the website.","Anonymous Russia claims to have conducted a DDoS attack against the website of the president of Ukraine, removing part of the website.",,,,,,,,,,https://t.me/anon_by/570,True,,state_russian,self_attribution,claimed
cissm,yes,,,0.047612,2022-09-11,Hdr0,Undetermined,Russian Federation,Russia-1,Disruptive,Message Manipulation,Protest,A group of pro-Ukrainian hackers named hdr0 take credit for breaching Russian TV channels and broadcasting anti-war messages comparing Russia's attack on Ukraine to the September 11 terrorist attacks in New York.,cissm_3721662545791710004,hdr0,RUS,,direct_lookup,True,Disruptive,Message Manipulation,cluster_25,atomic,0.3333,False,65,high,multi_within,CISSM:3,cissm,True,3,2022-09-11,2022-09-11,2022-09-11,Russia-1; Channel One Russia; Russia-24,Disruptive,Message Manipulation,Protest,Hdr0,1,A group of pro-Ukrainian hackers named hdr0 take credit for breaching Russian TV channels and broadcasting anti-war messages comparing Russia's attack on Ukraine to the September 11 terrorist attacks in New York.,A group of pro-Ukrainian hackers named hdr0 take credit for breaching Russian TV channels and broadcasting anti-war messages comparing Russia's attack on Ukraine to the September 11 terrorist attacks in New York.,Undetermined,UKR,2022-09-11,2022-09-11,Pro-Ukraine Hdr0 hackers breach Russia-1 TV channel,enriched,contextual_inference,https://therecord.media/pro-ukraine-hackers-claim-hack-on-russian-tv-broadcasts/,1,https://therecord.media/pro-ukraine-hackers-claim-hack-on-russian-tv-broadcasts/,True,,state_ukrainian,self_attribution,claimed
cissm,yes,,,0.027324,2022-09-12,Haydamaki,Ukraine,Russian Federation,7avto,Disruptive,External Denial of Service,Protest,The Ukrainian-affiliated collective Haydamaki claims to have conducted a DDoS attack against a Russian manufacturer of automobile mats and linings. | The Ukrainian-affiliated collective Haydamaki claims to have conducted a DDoS attack against a Russian equipment supplier for trucks and cars.,cissm_7425942199717574001,haydamaki,RUS,,direct_lookup,True,Disruptive,External Denial of Service,,daily,1.0,True,64,high,multi_within,CISSM:2,cissm,True,2,2022-09-08,2022-09-12,2022-09-12; 2022-09-08,7avto; 15am.RU,Disruptive,External Denial of Service,Protest,Haydamaki,1,The Ukrainian-affiliated collective Haydamaki claims to have conducted a DDoS attack against a Russian manufacturer of automobile mats and linings. The Ukrainian-affiliated collective Haydamaki claims to have conducted a DDoS attack against a Russian equipment supplier for trucks and cars.,The Ukrainian-affiliated collective Haydamaki claims to have conducted a DDoS attack against a Russian manufacturer of automobile mats and linings. The Ukrainian-affiliated collective Haydamaki claims to have conducted a DDoS attack against a Russian equipment supplier for trucks and cars.,,,,,,,,,,https://t.me/haydamaki/245; https://t.me/haydamaki/248,True,,hacktivist_proukrainian,self_attribution,claimed
